,Player Name
0,F. Chytil
1,A. Athanasiou
2,J. Roslovic
3,B. Hayton
4,T. Hall
5,J. Schwartz
6,M. Jankowski
7,A. Nylander
8,A. Burakovsky
9,J. Brodin
10,J. Vrana
11,T. Pearson
12,M. Coronato
13,S. Jones
14,P. Laine
15,M. Joseph
16,V. Hinostroza
17,T. Oshie
18,R. Hartman
19,S. Gagner
20,L. Carlsson
21,R. Nugent-Hopkins
22,C. Perfetti
23,N. Niederreiter
24,N. Pionk
25,D. Nurse
26,S. Laughton
27,T. Foerster
28,A. Iafallo
29,M. Ekholm
30,S. Monahan
31,M. Frost
32,B. Gallagher
33,T. Sanheim
34,W. Foegele
35,J. Farabee
36,F. Zadina
37,L. Evangelista
38,A. Henrique
39,J. Pavelski
40,T. Bertuzzi
41,A. Lundell
42,Y. Sharangovich
43,N. Schmaltz
44,R. Strome
45,A. Lafrenière
46,S. Reinhart
47,Y. Gourde
48,C. Grundstrom
49,N. Dobson
50,V. Dunn
51,J. Miller
52,B. Saad
53,C. Garland
54,A. Kopitar
55,N. Cousins
56,V. Trocheck
57,R. Thomas
58,J. Zucker
59,A. Larsson
60,E. Rodrigues
61,D. Sprong
62,J. Huberdeau
63,M. Marner
64,T. Seguin
65,M. Granlund
66,M. Weegar
67,T. Lewis
68,W. Johnston
69,V. Puustinen
70,N. Gregor
71,M. Duchene
72,R. Andersson
73,R. O'Reilly
74,D. Cozens
75,K. Hayes
76,Q. Byfield
77,L. Raymond
78,M. Beniers
79,J. MacDonald
80,E. Tolvanen
81,T. Terry
82,P. Dubois
83,F. Zetterlund
84,S. Bennett
85,F. Hronek
86,R. Smith
87,K. Letang
88,A. Laferriere
89,M. Heiskanen
90,P. Danault
91,J. Eberle
92,T. Hertl
93,N. Foligno
94,O. Palat
95,M. Geekie
96,B. Hagel
97,J. Gaudreau
98,B. McMann
99,G. Nyquist
100,D. Toews
101,I. Mikheyev
102,V. Tarasenko
103,N. Hischier
104,J. Vesey
105,S. Durzi
106,M. Eyssimont
107,J. van Riemsdyk
108,J. Neighbours
109,J. Carlson
110,J. Martinook
111,M. Rossi
112,E. Haula
113,J. Sanderson
114,A. Cirelli
115,A. Mantha
116,C. Sillinger
117,T. Krug
118,S. Jarvis
119,M. Johansson
120,D. Strome
121,J. Chychrun
122,J. DeBrusk
123,F. Gaudreau
124,J. Kotkaniemi
125,A. Ekblad
126,S. Gostisbehere
127,T. Kartye
128,M. Maccelli
129,Y. Chinakhov
130,M. Stone
131,B. Burns
132,W. Karlsson
133,B. Skjei
134,A. Kaliyev
135,D. Doughty
136,A. Lee
137,B. Montour
138,P. Dorofeyev
139,J. Slavin
140,R. Hintz
141,K. Palmieri
142,M. Rielly
143,J. Faulk
144,G. Forsling
145,T. Teravainen
146,V. Hedman
147,C. Parayko
148,J. Walman
149,J. Brodzinski
150,R. Donato
151,L. Crouse
152,D. Orlov
153,M. Seider
154,A. Pietrangelo
155,M. Wood
156,M. Pospisil
157,N. Paul
158,C. Coyle
